ccn,provider_name,provider_address,city,state,zip_code,in_vbp,vbp_rank,performance_score,incentive_multiplier,payment_direction,national_pct_rank,national_vbp_tier,state_pct_rank,state_vbp_tier,snfrm_base,snfrm_perf,snfrm_score,snfrm_delta,hai_base,hai_perf,hai_score,turnover_base,turnover_perf,turnover_score,turnover_delta,staffing_hprd_base,staffing_hprd_perf,staffing_score,staffing_hprd_delta,fn_snfrm_flag,fn_hai_flag,fn_turnover_flag,fn_staffing_flag
125058,YUKIO OKUTSU STATE VETERANS HOME,1180 WAIANUENUE AVENUE,HILO,HI,96720,True,1854,53.54539,1.0082781813,BONUS,0.867,TOP_QUARTILE,0.487,BELOW_MEDIAN,,,,,,,,0.41818,0.41935,5.32003,0.0012,4.38531,4.61112,5.38905,0.2258,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125056,HALE MAKUA HEALTH SERVICES,1540 LOWER MAIN STREET,WAILUKU,HI,96793,True,1793,53.9497,1.0087478177,BONUS,0.871,TOP_QUARTILE,0.513,BELOW_MEDIAN,,0.19376,4.43575,,,0.06521,4.39587,0.33333,0.20588,10.0,-0.1274,3.71163,3.85964,2.74826,0.148,,,,
125009,MALUHIA,1027 HALA DRIVE,HONOLULU,HI,96817,True,1731,54.38325,1.0092473136,BONUS,0.876,TOP_QUARTILE,0.538,ABOVE_MEDIAN,,,,,,,,,0.27027,8.96759,,4.27195,3.62083,1.90905,-0.6511,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125033,HARRY AND JEANETTE WEINBERG CARE CENTER,45-090 NAMOKU ST,KANEOHE,HI,96744,True,1708,54.59838,1.0094934672,BONUS,0.877,TOP_QUARTILE,0.564,ABOVE_MEDIAN,0.16773,0.19085,5.06365,0.0231,0.06732,0.06724,3.71644,0.31579,0.17143,10.0,-0.1444,3.94615,3.94814,3.05926,0.002,,,,
125020,"AVALON CARE CENTER - HONOLULU, LLC",1930 KAMEHAMEHA IV RD,HONOLULU,HI,96819,True,1665,54.90906,1.0098468326,BONUS,0.88,TOP_QUARTILE,0.59,ABOVE_MEDIAN,0.1597,0.19775,3.5748,0.038,0.05475,0.04962,10.0,0.40566,0.43089,5.03768,0.0252,4.18833,4.0312,3.35114,-0.1571,,,,
125066,KALAKAUA GARDENS,1723 KALAKAUA AVENUE,HONOLULU,HI,96826,True,1627,55.20399,1.0101798496,BONUS,0.883,TOP_QUARTILE,0.615,ABOVE_MEDIAN,0.17889,0.18449,6.43599,0.0056,0.06144,0.07043,2.64875,0.49123,0.37037,6.51843,-0.1209,4.27406,4.92112,6.47842,0.6471,,,,
125046,PU'UWAI 'O MAKAHA,84-390 JADE STREET,WAIANAE,HI,96792,True,1587,55.50748,1.0105199293,BONUS,0.886,TOP_QUARTILE,0.641,ABOVE_MEDIAN,,,,,,,,0.3,0.31148,7.9593,0.0115,3.95384,3.97174,3.14219,0.0179,VOL_SUPPRESSED,VOL_SUPPRESSED,,
125042,OAHU CARE FACILITY,1808 SOUTH BERETANIA STREET,HONOLULU,HI,96826,True,1562,55.66161,1.0106915943,BONUS,0.888,TOP_QUARTILE,0.667,ABOVE_MEDIAN,,0.17256,9.01019,,,0.07064,2.57847,0.87097,0.46341,6.04757,-0.4076,4.70404,4.39467,4.62842,-0.3094,,,,
125013,MAUNALANI NURSING AND REHABILITATION CENTER,5113 MAUNALANI CIRCLE,HONOLULU,HI,96816,True,1295,57.92016,1.013115984,BONUS,0.907,TOP_QUARTILE,0.692,ABOVE_MEDIAN,0.18214,0.19258,4.69036,0.0104,0.06071,0.05939,6.34381,0.38211,0.34314,7.18467,-0.039,4.63766,4.48596,4.94922,-0.1517,,,,
125059,PALOLO CHINESE HOME,2459 10TH AVENUE,HONOLULU,HI,96816,True,1058,60.38578,1.015536731,BONUS,0.924,TOP_QUARTILE,0.718,ABOVE_MEDIAN,0.20565,0.1715,9.23891,-0.0341,0.06706,0.05993,6.16307,0.54386,0.49153,3.55399,-0.0523,4.76345,4.55685,5.19834,-0.2066,,,,
