enrollment_id,organization_name,owner_count,individual_owner_count,private_equity_company_owner,reit_owner,holding_company_owner,investment_firm_owner,medical_staffing_company_owner,chain_home_office_owner,corporation_owner,llc_owner,non_profit_owner,for_profit_owner,trust_or_trustee_owner
O20021108000002,THE METHODIST HOSPITAL,35,31,False,False,False,False,False,True,True,False,True,False,False
O20021108000004,"OPOP, LLC",13,7,False,False,False,False,False,False,True,True,False,False,False
O20021111000005,STATE OF TEXAS VETERANS LAND BOARD,4,3,False,False,False,False,False,False,False,False,False,False,False
O20021111000007,STATE OF TEXAS VETERANS LAND BOARD,4,3,False,False,False,False,False,False,False,False,False,True,False
O20021113000000,OTTERBEIN CRIDERSVILLE,55,48,False,False,False,False,True,True,True,True,True,True,False
O20021113000002,OTTERBEIN ST MARYS,50,43,False,False,False,False,True,True,True,True,True,True,False
O20021113000004,OTTERBEIN LEBANON,41,34,False,False,False,False,True,True,True,True,True,True,False
O20021118000009,CRANBERRY PLACE,64,52,False,False,False,False,False,True,True,True,True,True,False
O20021119000003,"NEW PORT RICHEY MEDICAL INVESTORS, LLC",28,20,False,False,False,False,False,True,True,True,False,True,False
O20021120000026,HEALTH FACILITIES INC.,2,2,False,False,False,False,False,False,False,False,False,False,False
O20021121000001,"GORHAM HEALTH CARE, INC",11,9,False,False,False,False,False,False,True,False,False,True,False
O20021121000016,HEBREW OLD AGE CENTER OF ATLANTIC CITY,6,5,False,False,False,False,False,False,False,False,False,False,False
O20021121000027,CLOVER MANOR INC,10,8,False,False,False,False,False,False,True,False,False,True,False
O20021125000016,"BETHESDA HOME OF ABERDEEN, INC.",19,19,False,False,False,False,False,False,False,False,False,False,False
O20021202000003,"CAPE GIRARDEAU OPERATIONS, LLC",25,20,False,False,False,False,False,True,True,True,False,True,False
O20021202000005,"SULLIVAN OPERATIONS, LLC",5,4,False,False,False,False,False,False,True,False,False,True,False
O20021202000032,"INVERRARY MEDICAL INVESTORS, LLC",29,23,False,False,False,False,False,True,True,True,False,True,False
O20021202000037,ST FRANCIS MANOR INC,48,44,False,False,False,False,False,False,True,True,False,False,False
O20021202000041,"GLEN HAVEN HEALTH AND REHABILITATION, LLC",20,13,False,False,True,False,False,False,True,True,False,True,False
O20021202000042,HUNTER CREEK HEALTH AND REHABILITATION LLC,19,13,False,False,False,False,False,False,True,True,False,True,False
O20021202000043,"OPP HEALTH AND REHABILITATION, LLC",19,12,False,False,True,False,False,False,True,True,False,True,True
O20021203000003,"OZARK HEALTH AND REHABILITATION, LLC",16,11,False,False,False,False,False,False,True,True,False,True,True
O20021203000013,CALVIN COMMUNITY,14,14,False,False,False,False,False,False,False,False,False,False,False
O20021206000016,VALLEY VISTA CARE CORPORATION,15,14,False,False,False,False,False,False,False,False,False,False,False
O20021209000009,"ALTERCARE OF NAVARRE CENTER FOR REHABILITATION AND NURSING CARE, INC.",16,8,False,False,False,False,False,False,True,False,False,True,False
O20021209000015,PEACEHEALTH,28,23,False,False,False,False,False,True,False,False,True,False,False
O20021209000016,"ALTERCARE OF WADSWORTH CENTER FOR REHABILITATION & NURSING CARE, INC",15,7,False,False,False,False,False,False,True,False,False,False,False
O20021210000004,"ALTERCARE POST-ACUTE REHABILITATION CENTER, INC.",15,7,False,False,False,False,False,False,True,False,False,True,False
O20021210000007,"ALTERCARE OF ALLIANCE CENTER FOR REHABILITATION AND NURSING CARE, INC.",15,7,False,False,False,False,False,False,True,False,False,True,False
O20021210000008,"ALTERCARE OF HARTVILLE CENTER FOR REHABILITATION & NURSING CARE, INC.",16,8,False,False,False,False,False,False,False,False,False,True,False
O20021210000012,ALTERCARE OF BUCYRUS CENTER FOR REHABILITATION & NURSING CARE INC,17,9,False,False,False,False,False,False,True,False,False,True,False
O20021211000007,"SHEPHERD OF THE VALLEY LUTHERAN RETIREMENT SERVICES, INC.",13,13,False,False,False,False,False,False,False,False,False,False,False
O20021212000005,"GENERATIONS HEALTH ASSOCIATION, INC",14,13,False,False,False,False,False,False,False,False,False,False,False
O20021212000016,RATLIFF ENTERPRISES LLC,18,10,False,False,False,False,False,False,False,True,False,False,True
O20021217000011,ST LUKE HOMES & SERVICES INC,29,19,False,False,False,False,False,False,True,True,True,True,False
O20021217000026,"LINEVILLE HEALTH AND REHABILITATION, LLC",21,13,False,False,True,False,False,False,True,True,False,True,False
O20021218000003,GREGSTON NURSING HOME INC,5,5,False,False,False,False,False,False,False,False,False,False,False
O20021219000014,VILLA MARIA INC,60,45,False,False,False,False,True,False,True,False,True,True,False
O20021220000016,RUTHVEN COMMUNITY CARE CENTER INC,48,39,False,False,False,True,False,False,True,True,False,False,False
O20021226000016,SUNRISE MANOR,32,31,False,False,False,False,False,False,False,False,False,True,False
O20021227000001,ASHLAND NURSING HOME CORPORATION,24,16,False,False,False,False,False,False,True,True,True,False,False
O20021230000040,"LUVERNE HEALTH AND REHABILITATION, LLC",21,13,False,False,True,False,False,False,True,True,False,True,False
O20021231000009,"PARK MANOR HEALTH AND REHABILITATION, LLC",19,13,False,False,False,False,False,False,False,True,False,False,False
O20030102000008,NEW HAMPSHIRE ODD FELLOWS HOME,41,39,False,False,False,False,False,False,False,False,False,False,False
O20030103000018,COLONIAL MANORS OF COLUMBUS COMMUNITY INC,41,34,False,False,False,False,False,False,True,True,False,False,False
O20030106000019,"PRUITTHEALTH - ROCK HILL, LLC",10,3,False,False,False,False,False,False,True,False,False,True,False
O20030106000021,"PRUITTHEALTH - DILLON, LLC",12,5,False,False,False,False,False,False,True,False,False,True,False
O20030106000028,RBM OPCO OF LEBANON LLC,17,10,False,False,True,False,False,False,False,True,False,False,False
O20030107000016,MOUNDVILLE HEALTH AND REHABILITATION LLC,21,13,False,False,True,False,False,False,True,True,False,True,False
O20030108000015,STATE OF COLORADO,4,4,False,False,False,False,False,False,False,False,False,False,False
O20030109000006,UNITED PRESBYTERIAN HOME,8,7,False,False,False,False,False,False,False,False,True,False,False
O20030110000010,OCEANVIEW NURSING & REHABILITATION CENTER LLC,5,4,False,False,False,False,False,False,False,False,False,True,False
O20030114000016,WESLEY RETIREMENT SERVICES INC,16,13,False,False,False,False,False,False,False,False,True,False,False
O20030115000019,MORAN NURSING LLC,14,11,False,False,False,False,False,False,False,False,False,True,False
O20030115000027,SABETHA NURSING LLC,15,12,False,False,False,False,False,False,True,False,False,True,False
O20030115000028,"OSAGE NURSING, LLC",8,6,False,False,False,False,False,False,False,False,False,True,False
O20030116000000,"NORTH POINT SKILLED NURSING, LLC",9,6,False,False,False,False,False,False,False,False,False,True,False
O20030116000001,"UNIVERSITY MANOR HEALTHCARE GROUP, INC",24,11,False,True,True,False,False,True,False,True,False,False,True
O20030116000005,"PIONEER NURSING, LLC",12,9,False,False,False,False,False,False,True,True,False,True,False
O20030116000007,"HERITAGE HEALTH CARE, LLC",8,6,False,False,False,False,False,False,False,False,False,True,False
O20030116000014,ST. CLAIR NURSING LLC,14,11,False,False,False,False,False,False,False,False,False,True,False
O20030116000017,"PLEASANT VALLEY NURSING, LLC",10,8,False,False,False,False,False,False,True,False,False,True,False
O20030116000019,BOONVILLE NO2 INC,22,11,False,False,True,False,False,False,True,True,False,False,False
O20030116000024,WHEATLAND NURSING LLC,7,5,False,False,False,False,False,False,False,False,False,True,False
O20030116000030,"GALENA NURSING & REHAB, LLC",14,12,False,False,False,False,False,False,True,False,False,True,False
O20030116000033,"CHAFFEE NURSING, LLC",14,11,False,False,False,False,False,False,True,True,False,True,False
O20030116000034,HERITAGE NURSING LLC,10,8,False,False,False,False,False,False,False,False,False,True,False
O20030116000035,MCGUFFEY HEALTHCARE LLC,19,16,False,False,False,False,False,False,True,True,False,True,False
O20030120000003,"PATRIOTS COLONY, INC.",17,16,False,False,False,False,False,False,False,False,False,False,False
O20030120000021,"ROSE PARK HEALTHCARE ASSOCIATES,INC.",20,12,False,False,False,False,False,False,True,True,False,False,False
O20030121000012,"H&G NURSING HOMES, INC.",13,13,False,False,False,False,False,False,False,False,False,False,False
O20030124000011,"WASCO COUNTY NURSING CARE, INC.",7,5,False,False,False,False,False,False,False,False,True,False,False
O20030124000014,HENRY & JANE VONDERLIETH LIVING CENTER INC,22,18,False,False,False,False,False,True,False,False,True,True,False
O20030127000000,NEW SURFSIDE NURSING HOME LLC,8,8,False,False,False,False,False,False,False,False,False,False,False
O20030127000007,TWILIGHT ACRES INC.,57,49,False,False,False,False,False,False,True,True,False,False,False
O20030128000002,WESLEY VILLAGE,21,21,False,False,False,False,False,False,False,False,False,False,False
O20030130000005,GREENFIELD MANOR INC,10,9,False,False,False,False,False,False,False,True,False,True,False
O20030131000022,MERCY SERVICES FOR AGING NONPROFIT HOUSING CORPORATION,20,18,False,False,False,False,False,False,False,False,True,False,False
O20030131000023,DECKERVILLE NURSING CENTER LLC,22,15,False,False,False,False,False,True,True,True,False,True,True
O20030131000034,"NORTHERN LIGHTS SERVICES, INC.",29,26,False,False,False,False,False,False,True,False,False,True,False
O20030131000046,"THE LINGENFELTER CENTER, LTD",38,32,False,False,False,False,False,False,True,False,False,True,False
O20030203000000,UNITED HOSPITAL CENTER INC,17,16,False,False,False,False,False,False,False,False,True,False,False
O20030203000002,"NORTHFIELD VILLAGE RETIREMENT COMMUNITY, LTD.",18,9,False,False,True,False,False,False,True,True,False,True,True
O20030203000031,LUTHERAN RETIREMENT HOME INC.,81,67,False,False,False,False,False,False,True,True,False,False,False
O20030205000004,"FUTURE CARE-IRVINGTON, LLC",36,23,False,False,False,False,False,True,True,True,False,False,True
O20030205000006,"VIRGINIA HEALTH SERVICES, INC",20,18,False,False,False,False,False,False,False,False,False,False,False
O20030207000025,DELHAVEN MANOR NO 2 INC,21,11,False,False,True,False,False,False,True,True,False,False,False
O20030210000046,WINDSOR CARE CENTER NATIONAL CITY INC,19,12,False,False,True,False,False,False,False,True,False,False,False
O20030211000013,CPSR ASSOCIATES LLC,7,6,False,False,False,False,False,False,True,False,True,False,False
O20030212000023,BERKSHIRE RETIREMENT HOME INC,14,13,False,False,False,False,False,False,False,False,True,False,False
O20030214000046,SRCV-ROSA LLC,12,10,False,False,False,False,False,False,False,True,False,False,False
O20030217000044,LAWSON 1 INC,22,11,False,False,True,False,False,False,True,True,False,False,False
O20030219000003,EASTWOOD CONVALESCENT CENTER INC.,18,13,False,False,False,False,False,True,True,True,False,True,True
O20030219000004,ABBA CARE CORPORATION,23,16,False,False,False,False,False,True,True,True,False,True,True
O20030220000030,MRC TOWNCREEK,30,22,False,False,False,False,False,True,True,False,True,False,False
O20030224000010,ST TERESA REHABILITATION & NURSING CENTER,27,25,False,False,False,False,False,False,False,False,True,False,False
O20030224000011,FOOTHILL ACRES REHABILITATION AND NURSING CENTER LLC,4,4,False,False,False,False,False,False,False,False,False,False,False
O20030224000025,ST ANN REHABILITATION & NURSING CENTER,23,21,False,False,False,False,False,False,False,False,False,False,False
O20030224000027,ST FRANCIS REHABILITATION & NURSING CENTER,23,21,False,False,False,False,False,False,False,False,False,False,False
O20030224000041,MOUNT CARMEL REHABILITATION & NURSING CENTER,25,23,False,False,False,False,False,False,False,False,True,False,False
O20030225000017,"PRUITTHEALTH - LAFAYETTE, LLC",12,5,False,False,False,False,False,False,True,False,False,True,False
