zcta,race_total,race_white,race_black,race_aian,race_asian,race_nhpi,race_other,race_multi,pct_white,pct_black,pct_asian,pct_nhpi,hispanic_total,hispanic_count,pct_hispanic,non_hisp_white,median_hh_income,disability_pop_total,disability_count,pct_disability,acs_year
74530,177,139,0,19,0,0,0,19,78.5,0.0,0.0,0.0,177,17,9.6,135,56250,0,0,,2024-5yr
74531,834,643,15,151,0,0,1,24,77.1,1.8,0.0,0.0,834,37,4.4,617,55000,0,0,,2024-5yr
74533,891,665,0,95,2,0,29,100,74.6,0.0,0.2,0.0,891,39,4.4,661,61500,0,0,,2024-5yr
74534,144,129,0,2,0,0,0,13,89.6,0.0,0.0,0.0,144,0,0.0,129,38750,0,0,,2024-5yr
74535,92,66,0,12,0,0,0,14,71.7,0.0,0.0,0.0,92,0,0.0,66,31397,0,0,,2024-5yr
74536,1364,970,18,190,3,0,0,183,71.1,1.3,0.2,0.0,1364,18,1.3,965,39750,0,0,,2024-5yr
74538,3957,2496,19,375,27,2,3,1035,63.1,0.5,0.7,0.1,3957,193,4.9,2462,51366,0,0,,2024-5yr
74540,173,75,0,30,15,2,2,49,43.4,0.0,8.7,1.2,173,17,9.8,75,42917,0,0,,2024-5yr
74543,367,295,0,28,9,0,0,35,80.4,0.0,2.5,0.0,367,26,7.1,295,82222,0,0,,2024-5yr
74546,597,311,6,50,2,0,0,228,52.1,1.0,0.3,0.0,597,19,3.2,311,47857,0,0,,2024-5yr
74547,2815,1706,50,306,0,0,0,753,60.6,1.8,0.0,0.0,2815,142,5.0,1690,45521,0,0,,2024-5yr
74549,118,71,0,14,0,0,0,33,60.2,0.0,0.0,0.0,118,20,16.9,71,73438,0,0,,2024-5yr
74552,980,705,10,134,11,0,0,120,71.9,1.0,1.1,0.0,980,34,3.5,699,50759,0,0,,2024-5yr
74553,1382,884,8,71,0,0,3,416,64.0,0.6,0.0,0.0,1382,61,4.4,884,59063,0,0,,2024-5yr
74554,1917,1300,30,154,0,0,18,415,67.8,1.6,0.0,0.0,1917,148,7.7,1271,40938,0,0,,2024-5yr
74555,671,473,0,63,0,0,0,135,70.5,0.0,0.0,0.0,671,6,0.9,471,52250,0,0,,2024-5yr
74556,257,194,0,6,0,0,0,57,75.5,0.0,0.0,0.0,257,0,0.0,194,57500,0,0,,2024-5yr
74557,539,416,0,69,5,0,0,49,77.2,0.0,0.9,0.0,539,2,0.4,416,39063,0,0,,2024-5yr
74558,383,252,11,71,4,0,5,40,65.8,2.9,1.0,0.0,383,8,2.1,251,45455,0,0,,2024-5yr
74560,435,326,0,20,0,0,0,89,74.9,0.0,0.0,0.0,435,17,3.9,320,45000,0,0,,2024-5yr
74561,1950,1286,10,140,0,5,16,493,65.9,0.5,0.0,0.3,1950,59,3.0,1270,48224,0,0,,2024-5yr
74562,724,557,27,71,1,0,8,60,76.9,3.7,0.1,0.0,724,20,2.8,557,52500,0,0,,2024-5yr
74563,1910,1242,13,517,0,0,5,133,65.0,0.7,0.0,0.0,1910,64,3.4,1232,44063,0,0,,2024-5yr
74565,446,318,5,16,0,0,0,107,71.3,1.1,0.0,0.0,446,10,2.2,315,56250,0,0,,2024-5yr
74567,79,47,0,5,0,0,0,27,59.5,0.0,0.0,0.0,79,0,0.0,47,41250,0,0,,2024-5yr
74569,584,341,74,57,0,0,0,112,58.4,12.7,0.0,0.0,584,5,0.9,340,61818,0,0,,2024-5yr
