ccn,facility_name,state,type_of_control,fy_begin,fy_end,beds,days_medicare,days_medicaid,days_total,bed_days_available,medicare_days_pct,medicaid_days_pct,private_other_pct,net_patient_revenue,net_income,total_costs,total_salaries,contract_labor,operating_margin_pct,occupancy_pct,contract_labor_pct,medicaid_heavy,financially_stressed
385117,FRENCH PRAIRIE NURSING & REHAB,OR,4,2023-01-01,2023-02-28,80.0,70.0,2378.0,3076.0,4720.0,2.3,77.3,20.4,1629076.0,173578.0,88063.0,532059.0,345282.0,10.65,65.2,64.9,True,False
385167,SOUTH HILLS REHABILITATION CENTER,OR,4,2023-01-01,2023-02-28,110.0,217.0,2040.0,4116.0,6490.0,5.3,49.6,45.2,2393179.0,107005.0,233932.0,712433.0,595412.0,4.47,63.4,83.6,False,False
385241,AVALON CARE CENTER - KEIZER,OR,4,2023-01-01,2023-02-28,49.0,20.0,2315.0,2569.0,2891.0,0.8,90.1,9.1,1450627.0,164748.0,64512.0,518811.0,197645.0,11.36,88.9,38.1,True,False
555388,BEACH CREEK POST-ACUTE,CA,6,2022-10-01,2022-12-31,138.0,1796.0,9746.0,12045.0,12696.0,14.9,80.9,4.2,5364809.0,186976.0,452277.0,2428284.0,44332.0,3.49,94.9,1.8,True,False
315365,HACKENSACK MERIDIAN NURSING & REHABI,NJ,2,2023-01-01,2023-03-15,147.0,511.0,3652.0,6258.0,10878.0,8.2,58.4,33.5,2254162.0,-1488454.0,493042.0,1484394.0,595196.0,-66.03,57.5,40.1,False,True
395654,BONNIEVILLE NURSING CENTER,PA,4,2023-01-01,2023-02-06,77.0,104.0,1693.0,1901.0,2849.0,5.5,89.1,5.5,539600.0,-258710.0,89338.0,418808.0,50523.0,-47.94,66.7,12.1,True,True
395796,MONTGOMERYVILLE SKILLED NURSING & RE,PA,6,2023-02-01,2023-06-30,170.0,1182.0,15303.0,19212.0,25500.0,6.2,79.7,14.2,5853784.0,-760815.0,684393.0,2469302.0,1221738.0,-13.0,75.3,49.5,True,True
146028,WARREN BARR LINCOLNSHIRE,IL,6,2023-01-01,2023-04-30,144.0,1738.0,9177.0,14170.0,17280.0,12.3,64.8,23.0,4946624.0,-847631.0,494512.0,2748702.0,264998.0,-17.14,82.0,9.6,True,True
215010,PEAK HEALTHCARE AT THE PINES,MD,4,2023-01-01,2023-03-31,170.0,818.0,5712.0,6762.0,15300.0,12.1,84.5,3.4,2406495.0,-1035153.0,301001.0,984929.0,682872.0,-43.01,44.2,69.3,True,True
395442,YORK NORTH SKILLED NURSING & REHABIL,PA,6,2023-02-01,2023-06-30,161.0,742.0,16003.0,20988.0,24150.0,3.5,76.2,20.2,6356358.0,-467116.0,625645.0,2078315.0,1520821.0,-7.35,86.9,73.2,True,True
455687,ALAMEDA OAKS NURSING CENTER,TX,6,2022-10-01,2023-09-30,142.0,1384.0,12181.0,17867.0,51830.0,7.7,68.2,24.1,4110587.0,-184819.0,410185.0,2243308.0,166092.0,-4.5,34.5,7.4,True,False
525645,LINDENGROVE MUKWONAGO,WI,2,2023-03-20,2023-06-30,40.0,704.0,517.0,2768.0,4120.0,25.4,18.7,55.9,1316858.0,-626207.0,343236.0,442783.0,586577.0,-47.55,67.2,132.5,False,True
035247,MARYLAND GARDENS CARE CENTER,AZ,4,2023-01-01,2023-02-28,100.0,13.0,1756.0,2199.0,5900.0,0.6,79.9,19.6,1240288.0,-65786.0,46981.0,439635.0,100838.0,-5.3,37.3,22.9,True,True
675733,FPACP STONEBRIAR LLC,TX,4,2022-10-01,2023-06-28,134.0,377.0,15628.0,16670.0,36314.0,2.3,93.7,4.0,8008892.0,-755749.0,911727.0,4730519.0,645498.0,-9.44,45.9,13.6,True,True
676448,THE RESERVE AT RICHARDSON,TX,5,2023-01-01,2023-05-31,129.0,3431.0,4443.0,9436.0,19479.0,36.4,47.1,16.6,3488508.0,-80217.0,618148.0,1292367.0,689816.0,-2.3,48.4,53.4,False,False
676488,CEDAR HOLLOW REHABILITATION CENTER,TX,5,2023-01-01,2023-05-31,142.0,3784.0,4581.0,10991.0,21442.0,34.4,41.7,23.9,3781502.0,981.0,832637.0,1164795.0,1075947.0,0.03,51.3,92.4,False,False
065241,DENVER SKILLED NURSING AND REHABILIT,CO,6,2023-02-01,2023-05-31,160.0,265.0,9006.0,11146.0,19200.0,2.4,80.8,16.8,3586461.0,-290143.0,538851.0,2180027.0,,-8.09,58.1,,True,True
065267,BOULDER SKILLED NURSING AND REHABILI,CO,6,2023-02-01,2023-05-31,150.0,113.0,4592.0,6230.0,18000.0,1.8,73.7,24.5,1796641.0,-857730.0,178361.0,1060963.0,,-47.74,34.6,,True,True
395309,YORK SOUTH SKILLED NURSING & REHABIL,PA,6,2023-02-01,2023-06-30,151.0,803.0,15218.0,19029.0,22650.0,4.2,80.0,15.8,5802627.0,-698043.0,602557.0,2205602.0,1543167.0,-12.03,84.0,70.0,True,True
