ENROLLMENT ID,ENROLLMENT STATE,PROVIDER TYPE CODE,PROVIDER TYPE TEXT,NPI,MULTIPLE NPI FLAG,CCN,ASSOCIATE ID,ORGANIZATION NAME,DOING BUSINESS AS NAME,INCORPORATION DATE,INCORPORATION STATE,ORGANIZATION TYPE STRUCTURE,ORGANIZATION OTHER TYPE TEXT,PROPRIETARY_NONPROFIT,NURSING HOME PROVIDER NAME,AFFILIATION ENTITY NAME,AFFILIATION ENTITY ID,ADDRESS LINE 1,ADDRESS LINE 2,CITY,STATE,ZIP CODE
O20170710001885,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1922418631,N,675754,5395786180,NOCONA HOSPITAL DISTRICT,TRAYMORE NURSING CENTER,,,OTHER,HOSPITAL DISTRICT,N,TRAYMORE NURSING CENTER,FOURSQUARE HEALTHCARE,226,4315 HOPKINS AVE,,DALLAS,TX,752093026
O20170711000590,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1831192368,N,675729,0446151328,NACOGDOCHES COUNTY HOSPITAL DISTRICT,STONECREEK NURSING & REHABILITATION,,,OTHER,HOSPITAL DISTRICT,N,STONECREEK NURSING & REHABILITATION,,,451 S EL CAMINO XING,,SAN AUGUSTINE,TX,759721666
O20170711003651,TN,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1629508346,N,445150,3577832203,MAJESTIC OPERATIONS LLC,MAJESTIC GARDENS AT MEMPHIS REHABILITATION AND SKILLED NURSING CENTER,,,LLC,,P,MAJESTIC GARDENS AT MEMPHIS REHAB & SNC,EPHRAM LAHASKY,205,131 N TUCKER ST,,MEMPHIS,TN,381042636
O20170712001309,GA,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1437144854,N,115534,0648549311,AZALEALAND MANAGEMENT INC,,1988-12-01,GA,CORPORATION,,P,AZALEALAND NURSING HOME,,,2040 COLONIAL DR,,SAVANNAH,GA,314062226
O20170712003911,NC,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1851836118,N,345298,1456620087,"THE LAURELS OF PENDER, LLC",THE LAURELS OF PENDER,2016-07-29,NC,LLC,,P,THE LAURELS OF PENDER,CIENA HEALTHCARE/LAUREL HEALTH CARE,144,311 S CAMPBELL ST,,BURGAW,NC,284255011
O20170712003957,NJ,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639614639,N,315280,7618246240,THE SILVERCARE LLC,SILVER HEALTHCARE CENTER,2015-11-06,NJ,LLC,,P,SILVER HEALTHCARE CENTER,BENJAMIN LANDA,646,1417 BRACE RD,,CHERRY HILL,NJ,080343524
O20170713000236,CO,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1568907731,N,065113,1951670603,BIJOU HEALTHCARE LLC,MEDALLION POST ACUTE REHABILITATION,2016-12-21,NV,LLC,,P,MEDALLION POST ACUTE REHABILITATION,THE ENSIGN GROUP,507,1719 E BIJOU ST,,COLORADO SPRINGS,CO,809095736
O20170713000816,OH,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1669911079,N,365376,6608145255,OVM INVESTMENT GROUP LLC,OHIO VALLEY MANOR NURSING AND REHABILITATION,2016-12-02,OH,LLC,,P,OHIO VALLEY MANOR NURSING AND REHABILITATION,HEALTH CARE MANAGEMENT GROUP,254,5280 STATE ROUTE 62 & 68,,RIPLEY,OH,451678650
O20170713002395,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1396732939,N,455965,9133029077,OLNEY-HAMILTON HOSPITAL DISTRICT,TEXHOMA CHRISTIAN CARE CENTER INC,,,OTHER,HOSPITAL DISTRICT,N,TEXHOMA CHRISTIAN CARE CENTER INC,,,300 LOOP 11,,WICHITA FALLS,TX,763063705
O20170713002705,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1821414087,N,676326,8325934813,DALLAS COUNTY HOSPITAL DISTRICT,EDGEWOOD REHABILITATION AND CARE CENTER,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,EDGEWOOD REHABILITATION AND CARE CENTER,FUNDAMENTAL HEALTHCARE,231,1101 WINDBELL ST,,MESQUITE,TX,751492177
O20170713003174,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1083836357,N,676156,8325934813,DALLAS COUNTY HOSPITAL DISTRICT,PRESTONWOOD REHABILITATION & NURSING CENTER,,,OTHER,HOSPITAL DISTRICT,N,PRESTONWOOD REHABILITATION & NURSING CENTER INC,DALLAS COUNTY HOSPITAL DISTRICT,844,2460 MARSH LN,,PLANO,TX,750931612
O20170714000524,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1962802850,N,676293,8325934813,DALLAS COUNTY HOSPITAL DISTRICT,FOREST PARK NURSING & REHABILITATION,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,FOREST PARK NURSING & REHABILITATION,OPCO SKILLED MANAGEMENT,773,6825 HARRY HINES BLVD,,DALLAS,TX,752354210
O20170714000814,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1942600838,N,676315,8325934813,DALLAS COUNTY HOSPITAL DISTRICT,THE HILLCREST OF NORTH DALLAS,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,THE HILLCREST OF NORTH DALLAS,OPCO SKILLED MANAGEMENT,773,18648 HILLCREST RD,,DALLAS,TX,752522752
O20170714001366,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1639619539,N,675013,5193634111,CHILDRESS COUNTY HOSPITAL DISTRICT,CROWELL NURSING CENTER,,,OTHER,HOSPITAL DISTRICT,N,CROWELL NURSING CENTER,ADVANCED HEALTHCARE SOLUTIONS,13,200 S B AVENUE,,CROWELL,TX,79227
O20170714001545,TX,00-18,PART A PROVIDER - SKILLED NURSING FACILITY,1699811794,N,675350,5193634111,CHILDRESS COUNTY HOSPITAL DISTRICT,WILLOWCREEK REHAB AND NURSING,,,OTHER,FEDERAL AND/OR STATE GOVERNMENT TYPE,N,WILLOWCREEK REHAB AND NURSING,,,4934 S 7TH ST,,ABILENE,TX,796052642
