ccn,provider_name,state,city,zip,snfrm_achievement,snfrm_improvement,snfrm_measure_score,hai_achievement,hai_improvement,hai_measure_score,turnover_score,staffing_score,performance_score,incentive_payment_multiplier,vbp_penalty,vbp_bonus
395794,SAINT JOHN XXIII HOME,PA,HERMITAGE,16148,5.52973,1.61654,5.52973,3.48215,0.00000,3.48215,10.00000,3.70515,56.79258,1.0119279743,False,True
395795,"LAFAYETTE MANOR, INC",PA,UNIONTOWN,15401,0.00000,0.00000,0.00000,0.97862,0.00000,0.97862,4.66970,2.25780,19.76529,0.9822314274,True,False
395796,MONTGOMERYVILLE SKILLED NURSING AND REHABILITATI,PA,MONTGOMERYVILLE,18936,2.37725,0.00000,2.37725,8.21811,4.63959,8.21811,0.94188,1.46462,32.50465,0.9871261477,True,False
395797,LANDIS HOMES,PA,LITITZ,17543,10.00000,9.00000,10.00000,9.14857,7.18212,9.14857,8.96221,6.44219,86.38243,1.0268822983,False,True
395798,TRANSITIONS HEALTHCARE GETTYSBURG,PA,GETTYSBURG,17325,5.80161,0.00000,5.80161,7.26088,6.83572,7.26088,2.82242,1.40127,43.21543,0.9961958646,True,False
395800,HIGHLANDS AT WYOMISSING,PA,WYOMISSING,19610,0.00000,0.00000,0.00000,4.23856,0.00000,4.23856,0.00000,3.62805,19.66655,0.9822105089,True,False
395801,QUADRANGLE,PA,HAVERFORD,19041,1.59830,3.64361,3.64361,4.92804,0.00000,4.92804,10.00000,5.23734,59.52249,1.0147183724,False,True
395802,THORNWALD HOME,PA,CARLISLE,17013,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.95232,3.98428,19.84149,0.9822476982,True,False
395804,LUTHERAN COMMUNITY AT TELFORD,PA,TELFORD,18969,7.35735,5.38990,7.35735,5.61417,3.92631,5.61417,8.21083,3.95761,62.84988,1.0176885457,False,True
395805,FAIRMOUNT HOMES,PA,EPHRATA,17522,6.96679,0.00000,6.96679,2.09316,0.00000,2.09316,8.88857,4.95607,57.26148,1.0124277113,False,True
395806,ST ANNE'S RETIREMENT COMMUNITY,PA,COLUMBIA,17512,7.91405,0.00000,7.91405,3.19766,0.00000,3.19766,10.00000,4.41546,63.81792,1.0184574793,False,True
395812,HILLTOP HEIGHTS HEALTH & REHAB CENTER,PA,JOHNSTOWN,15905,---,---,---,---,---,---,1.97011,1.78817,18.79138,0.9820331033,True,False
395815,ST MARTHA CENTER FOR REHABILITATION & HEALTHCARE,PA,DOWNINGTOWN,19335,0.00000,0.00000,0.00000,2.40777,0.00000,2.40777,1.72222,1.01141,12.85351,0.981144397,True,False
395816,"LUTHERAN HOME AT KANE, THE",PA,KANE,16735,3.35471,2.60412,3.35471,1.29993,0.00000,1.29993,6.27596,4.78237,39.28242,0.9922727042,True,False
395817,YARDLEY REHABILITATION AND HEALTHCARE CENTER,PA,YARDLEY,19067,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.18734,0.00000,20.46834,0.9823858949,True,False
395818,MASONIC VILLAGE AT LAFAYETTE HILL,PA,LAFAYETTE HILL,19444,2.40961,0.00000,2.40961,5.00502,2.51975,5.00502,6.40515,4.61974,46.0988,0.9994235649,True,False
395819,CARING HEART REHABILITATION AND NURSING CENTER,PA,PHILADELPHIA,19119,0.00000,0.00000,0.00000,7.74284,4.91084,7.74284,3.13952,3.15474,35.09274,0.9888441959,True,False
395821,LITTLE FLOWER MANOR,PA,DARBY,19023,10.00000,9.00000,10.00000,5.86519,5.46283,5.86519,8.18318,5.07942,72.81947,1.0236583581,False,True
395823,TOWNVIEW HEALTH AND REHABILITATION CENTER,PA,CANONSBURG,15317,2.57792,0.00000,2.57792,1.95928,0.00000,1.95928,6.96129,1.93819,33.59168,0.9878115982,True,False
395824,EMMANUEL CENTER FOR NURSING,PA,DANVILLE,17821,7.13078,0.88148,7.13078,3.98085,0.00000,3.98085,---,1.77626,42.95963,0.9959221831,True,False
395825,WATSONTOWN REHABILITATION AND NURSING CENTER,PA,WATSONTOWN,17777,2.00396,0.00000,2.00396,4.09799,0.00000,4.09799,1.98736,1.50349,23.98199,0.9833210393,True,False
395826,HIGHLAND HILLS POST ACUTE,PA,PITTSBURGH,15237,1.20127,0.00000,1.20127,1.77185,0.00000,1.77185,3.11309,0.00000,15.21553,0.9814401725,True,False
395827,KADIMA REHABILITATION & NURSING AT POTTSTOWN,PA,POTTSTOWN,19464,---,---,---,---,---,---,2.64059,1.12270,18.81643,0.9820379873,True,False
395828,"MAPLE HEIGHTS HEALTH & REHAB CENTER, LLC",PA,EBENSBURG,15931,0.00000,0.00000,0.00000,1.24303,0.00000,1.24303,1.23744,2.37742,12.14471,0.9810678278,True,False
395830,MEADOW VIEW NURSING CENTER,PA,BERLIN,15530,---,---,---,4.61008,0.00000,4.61008,3.34675,4.19253,40.49786,0.9934165399,True,False
395831,SCHUYLKILL CENTER,PA,POTTSVILLE,17901,0.00000,0.00000,0.00000,7.08349,0.00000,7.08349,5.32003,0.04331,31.11708,0.9863242316,True,False
395832,LEBANON VALLEY HOME THE,PA,ANNVILLE,17003,5.61820,0.00000,5.61820,5.31294,0.00000,5.31294,8.74396,7.43177,67.76718,1.0211525304,False,True
