YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT,high_therapy_intensity,high_dual_pct
2023,FY,PROVIDER,SNF,265646,La Belle Manor Care Center,La Belle,MO,63447,54,73,1559,1009862,794944,651568,782472,50,31,79,44,56,98,*,0,0,0,*,0,2.22,*,*,65,52,*,52,56,*,*,*,20,52,69,*,*,61,39,46,44,80,100,52,30,*,39,*,*,*,*,*,0,*,*,*,*,*,0,0,*,32,,True
2023,FY,PROVIDER,SNF,265647,Crown Rehab And Healthcare Center,Harrisonville,MO,64701,103,148,3794,2780479,2361604,1930726,2182487,49,*,80,41,59,99,0,0,*,0,*,0,2.68,*,13,44,46,*,50,51,*,0,*,25,50,69,17,12,46,50,45,50,79,*,53,15,*,36,*,*,*,0,17,0,18,15,*,12,*,0,0,13,17,,True
2023,FY,PROVIDER,SNF,265649,Anew Healthcare Operations-Sarcoxie Llc,Sarcoxie,MO,64862,12,14,494,278934,245647,188001,246859,*,*,77,*,*,100,0,0,0,0,0,0,3.01,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0,0,0,0,0,*,*,0,*,*,0,0,*,*,,
2023,FY,PROVIDER,SNF,265651,Stonebridge Hermann,Hermann,MO,65041,34,41,1134,876327,608214,483769,586605,50,50,84,*,*,100,0,0,0,0,0,0,2.43,0,*,68,56,*,68,65,0,0,*,*,32,68,*,*,35,56,38,50,62,*,38,44,*,*,0,*,*,0,*,0,*,*,0,*,0,0,0,*,44,,True
2023,FY,PROVIDER,SNF,265652,Cuba Manor Inc,Cuba,MO,65453,18,23,917,564921,465583,345555,418138,*,*,81,*,*,94,*,0,0,0,*,0,2.82,0,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,*,*,*,*,100,*,*,*,*,*,0,0,0,*,0,*,*,0,*,*,0,0,*,0,,
2023,FY,PROVIDER,SNF,265654,Fountainbleau Nursing Center,Festus,MO,63028,40,62,1695,708928,999632,799161,850525,*,*,72,50,50,95,0,0,*,0,*,0,3.19,*,33,48,65,*,*,*,*,*,*,40,38,*,*,*,58,40,60,38,*,*,60,*,*,33,*,*,*,0,*,0,*,*,*,*,*,0,*,*,*,,
2023,FY,PROVIDER,SNF,265655,Golden Age Living Center,Stover,MO,65078,65,76,2348,1460624,1206283,941190,1136838,35,*,83,32,68,98,0,*,0,0,*,0,2,0,*,40,52,*,49,51,*,0,*,*,48,65,*,*,42,32,43,45,83,*,49,22,*,32,*,*,*,0,*,0,16,14,0,*,*,0,0,18,22,,False
2023,FY,PROVIDER,SNF,265656,Strafford Care Center,Strafford,MO,65757,18,22,405,287338,184515,141986,185007,*,*,81,*,*,100,0,0,0,0,0,0,2.51,0,*,*,*,*,*,*,*,0,*,*,*,*,0,*,*,*,*,*,*,*,*,*,*,*,*,*,0,*,*,0,*,*,*,*,*,0,*,*,*,,
2023,FY,PROVIDER,SNF,265657,Polaris Health & Wellness Of Abbey Woods,Saint Joseph,MO,64506,106,141,3606,1198436,2169688,1770062,1992364,63,*,72,42,58,96,*,0,*,0,0,0,3.07,*,21,29,64,21,66,68,*,*,16,34,38,57,19,23,41,54,47,49,84,*,48,12,*,25,*,*,*,*,*,0,14,27,*,8,*,0,*,11,24,,True
2023,FY,PROVIDER,SNF,265661,St Luke's Nursing Center Inc,Carthage,MO,64836,82,107,3033,1325540,1474325,1110731,1477362,32,21,82,37,63,98,*,0,0,*,0,0,2.36,*,*,55,40,*,54,54,*,*,*,13,38,67,*,16,52,46,44,51,79,*,59,26,*,28,*,*,0,*,*,0,16,19,*,*,*,0,0,21,16,,False
2023,FY,PROVIDER,SNF,265663,Fulton Nursing & Rehab,Fulton,MO,65251,17,22,828,506184,371297,252128,327183,*,0,74,*,*,100,0,0,0,0,0,0,3.71,0,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,*,*,*,100,*,*,*,*,*,0,0,*,*,0,*,*,0,*,*,0,0,*,0,,
2023,FY,PROVIDER,SNF,265664,James River Nursing And Rehabilitation,Springfield,MO,65809,123,157,2737,3100521,1482576,1259974,1610912,38,10,79,38,62,96,*,*,0,*,*,*,2.74,*,13,43,54,9,61,63,*,*,*,15,46,69,14,15,60,45,47,53,84,*,42,32,*,36,*,*,*,0,12,0,17,11,*,9,*,0,*,16,20,,True
2023,FY,PROVIDER,SNF,265665,Hill Crest Manor,Hamilton,MO,64644,27,31,1128,802011,599788,447223,500436,*,44,78,44,56,89,*,0,*,0,0,0,2.3,*,*,59,*,*,56,59,*,*,*,*,41,*,*,*,44,44,59,48,*,*,56,*,*,*,0,*,*,*,*,*,*,*,0,*,*,0,0,*,*,,
2023,FY,PROVIDER,SNF,265666,Lawson Manor & Rehab,Lawson,MO,64062,22,23,757,623787,405599,307488,341462,*,0,80,*,*,100,0,0,0,0,0,0,1.9,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,50,*,*,*,50,*,0,*,*,0,0,0,*,0,*,*,0,*,*,0,0,*,*,,
2023,FY,PROVIDER,SNF,265667,Meyer Care Center,Higginsville,MO,64037,52,63,1308,762715,700382,591635,655265,21,0,82,37,63,94,*,0,*,0,0,*,2.22,*,*,48,46,*,63,65,*,*,*,*,33,79,*,23,58,46,54,50,*,*,62,21,*,29,*,*,*,0,*,0,*,*,*,*,*,0,0,25,*,,False
2023,FY,PROVIDER,SNF,265668,Carrie Elligson Gietner Home,Saint Louis,MO,63111,34,55,2484,1314897,1252045,924792,1009327,100,0,70,56,44,71,*,0,0,0,*,0,2.54,*,*,38,44,35,*,*,*,*,53,35,*,50,*,*,*,44,*,38,*,*,65,*,*,*,0,0,*,0,0,*,0,0,0,*,*,0,*,0,0,,True
2023,FY,PROVIDER,SNF,265669,Warrensburg Manor Care Center,Warrensburg,MO,64093,33,42,1059,686731,549303,417190,508625,*,0,85,39,61,100,0,0,0,0,0,0,1.96,*,*,52,52,*,48,52,*,*,*,*,36,52,*,*,52,33,39,61,*,*,52,*,*,36,*,*,*,0,*,0,26,*,0,0,*,0,0,*,*,,
2023,FY,PROVIDER,SNF,265670,Stonebridge Owensville,Owensville,MO,65066,52,65,1120,870291,631967,556943,663976,31,69,82,42,58,98,0,0,*,0,*,0,2.3,*,*,42,33,*,46,52,0,*,*,27,42,62,*,*,56,46,54,63,*,*,48,25,*,35,*,*,*,0,*,0,18,*,*,*,*,0,0,17,28,,False
2023,FY,PROVIDER,SNF,265672,Dutchtown Care Center,Saint Louis,MO,63118,24,27,870,972713,513846,389796,417784,*,0,76,50,50,67,*,0,0,0,*,0,3.18,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,*,*,*,*,50,*,*,46,*,*,*,0,0,0,*,*,0,*,*,0,0,0,*,,
2023,FY,PROVIDER,SNF,265677,Campbell Healthcare & Senior Living,Campbell,MO,63933,49,66,2409,1714303,1286866,922000,1132540,43,22,81,37,63,98,0,0,0,0,*,*,2.18,0,*,57,67,*,61,65,0,*,*,22,49,73,*,*,43,57,49,57,73,*,47,*,*,27,*,*,*,*,*,0,*,23,*,*,*,0,*,*,20,,True
2023,FY,PROVIDER,SNF,265678,Bertrand Nursing And Rehab Center,Bertrand,MO,63823,80,99,4241,2915686,2145066,1556039,1906162,45,19,84,24,76,99,*,0,0,0,*,0,1.82,*,15,43,53,*,56,58,0,*,*,15,43,78,*,16,39,46,50,41,81,*,41,20,*,26,*,*,0,*,*,0,18,15,0,*,*,0,*,18,37,,True
2023,FY,PROVIDER,SNF,265679,Pleasant Valley Manor Care Center,Liberty,MO,64068,27,34,795,504071,434058,328068,363174,59,0,80,*,*,96,*,0,0,0,*,0,3.09,0,*,48,*,*,*,*,*,0,*,*,48,*,*,*,59,48,48,56,*,100,52,*,*,*,0,*,0,0,*,0,*,*,0,*,*,0,0,*,*,,True
2023,FY,PROVIDER,SNF,265681,Potosi Manor,Potosi,MO,63664,33,41,1098,681135,543701,406065,490156,42,*,81,45,55,97,0,0,*,0,*,0,3.23,*,*,58,64,*,*,*,*,*,*,*,42,*,*,*,*,39,55,64,*,*,67,*,*,33,*,*,*,0,*,0,32,*,*,*,*,0,*,*,0,,True
2023,FY,PROVIDER,SNF,265682,Independence Manor Care Center,Independence,MO,64055,24,37,1165,853891,694669,566598,622975,100,0,79,*,*,96,*,0,0,0,*,0,2.29,*,*,*,*,*,*,100,*,*,*,*,*,*,*,*,50,*,*,*,*,100,46,*,*,46,*,*,*,0,*,0,*,30,*,*,*,0,0,*,*,,True
2023,FY,PROVIDER,SNF,265683,Windsor Healthcare & Rehab Center,Windsor,MO,65360,30,37,1199,765413,574500,439703,534642,*,*,79,*,*,97,0,0,0,*,*,0,3.07,0,*,*,63,*,50,50,*,*,*,*,60,*,*,*,*,*,57,*,*,100,47,*,*,*,*,0,0,0,0,0,30,*,*,*,*,0,0,*,*,,
2023,FY,PROVIDER,SNF,265688,Living Center The,Marshall,MO,65340,60,76,1576,1306298,829487,703778,840934,18,*,80,38,62,98,*,0,0,0,*,0,2.33,*,*,27,32,*,45,50,*,*,*,*,60,73,*,*,53,40,43,75,82,*,53,*,*,20,*,*,*,*,*,0,21,*,*,*,*,0,*,21,*,,False
2023,FY,PROVIDER,SNF,265690,Luther Manor Retirement & Nursing Center,Hannibal,MO,63401,40,50,1398,515750,725897,580555,699025,*,*,84,28,73,100,0,0,0,0,0,0,2.18,0,*,30,43,*,45,48,0,0,*,*,60,68,*,*,60,43,53,70,*,100,60,38,*,28,0,0,0,0,*,0,38,*,0,*,*,0,0,*,*,,
2023,FY,PROVIDER,SNF,265693,Rehabilitation Center Of Independence The,Independence,MO,64057,66,87,3508,1092643,2130950,1666614,1847065,80,*,73,55,45,82,*,0,*,0,0,0,2.87,0,33,50,56,21,77,80,*,*,35,36,32,50,*,*,35,47,61,45,83,100,55,*,*,29,*,*,*,*,*,0,*,15,*,18,*,0,0,13,17,,True
