HCPCS_Cd,RBCS_Id,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Latest_Assignment,First_RBCS_Release_Year,RBCS_Analysis_Start_Dt,RBCS_Analysis_End_Dt,Alt_Assignment_Method,RBCS_Id_Ever_Reassigned
C1788,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,04/01/2001,12/31/9999,1,2024,01/01/2014,12/31/9999,0,1
C1824,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
C1825,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2021,12/31/9999,1,2023,01/01/2021,12/31/9999,0,0
C1830,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,10/01/2011,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C1831,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,10/01/2021,12/31/9999,1,2023,10/01/2021,12/31/9999,0,0
C1833,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2022,12/31/9999,1,2023,01/01/2022,12/31/9999,0,0
C1834,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,10/01/2022,03/31/2023,1,2023,10/01/2022,03/31/2023,0,0
C1839,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
C1849,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2020,12/31/2022,0,2022,07/01/2020,12/31/2020,0,1
C1982,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
C2596,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2020,12/31/9999,1,2022,01/01/2020,12/31/9999,0,0
C2614,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2003,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C2615,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,04/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C2618,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,04/01/2001,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C8000,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,10/01/2024,12/31/9999,1,2025,10/01/2024,12/31/9999,0,0
C9250,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2009,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C9285,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2011,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C9349,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2015,12/31/2016,1,2020,01/01/2015,12/31/2016,0,0
C9354,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2008,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C9355,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,01/01/2008,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C9356,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2008,12/31/9999,1,2020,01/01/2014,12/31/9999,0,0
C9358,DA000N,D,DME,DA,Medical/Surgical Supplies,000,No RBCS Family,N,07/01/2008,12/31/9999,0,2020,01/01/2014,12/31/2020,0,1
