ZIP,Population_Total,Population_65Plus,ACS_Year
04673,144,73,2024-5yr
04674,284,43,2024-5yr
04675,123,60,2024-5yr
04676,1130,392,2024-5yr
04677,345,78,2024-5yr
04679,1553,414,2024-5yr
04680,1388,221,2024-5yr
04681,840,323,2024-5yr
04683,0,0,2024-5yr
04684,1836,568,2024-5yr
04685,438,123,2024-5yr
04686,328,61,2024-5yr
04691,499,138,2024-5yr
04693,493,233,2024-5yr
04694,2155,464,2024-5yr
04730,10106,2182,2024-5yr
04732,1427,415,2024-5yr
04733,465,16,2024-5yr
04734,804,141,2024-5yr
04735,492,137,2024-5yr
04736,9025,2293,2024-5yr
04737,0,0,2024-5yr
04739,825,301,2024-5yr
04740,1433,369,2024-5yr
04742,3309,1021,2024-5yr
04743,4770,1006,2024-5yr
04745,971,276,2024-5yr
04746,407,136,2024-5yr
04747,1316,370,2024-5yr
04750,1815,380,2024-5yr
04756,3341,980,2024-5yr
04757,2627,629,2024-5yr
04758,1405,349,2024-5yr
04760,674,190,2024-5yr
04761,372,138,2024-5yr
04762,494,152,2024-5yr
04763,629,228,2024-5yr
04764,88,11,2024-5yr
04765,1434,525,2024-5yr
04766,326,80,2024-5yr
04768,374,209,2024-5yr
04769,8736,1971,2024-5yr
04772,842,230,2024-5yr
04773,550,138,2024-5yr
04774,624,264,2024-5yr
04776,999,201,2024-5yr
04777,478,104,2024-5yr
04779,446,190,2024-5yr
04780,783,105,2024-5yr
04781,528,203,2024-5yr
04783,545,159,2024-5yr
04785,2073,744,2024-5yr
04786,1599,410,2024-5yr
04787,382,100,2024-5yr
04841,7035,1784,2024-5yr
04843,5242,1992,2024-5yr
04847,1748,369,2024-5yr
04848,636,258,2024-5yr
04849,4017,1258,2024-5yr
04851,48,25,2024-5yr
04852,120,20,2024-5yr
04853,480,156,2024-5yr
04854,1482,473,2024-5yr
04855,313,214,2024-5yr
04856,3675,890,2024-5yr
04858,1378,480,2024-5yr
04859,753,229,2024-5yr
04860,1543,579,2024-5yr
04861,2769,983,2024-5yr
04862,4023,924,2024-5yr
04863,1216,613,2024-5yr
04864,4932,594,2024-5yr
04901,27870,5458,2024-5yr
04910,2204,591,2024-5yr
04911,1880,337,2024-5yr
04912,858,206,2024-5yr
04915,9107,3084,2024-5yr
04917,3351,800,2024-5yr
04918,0,0,2024-5yr
04920,1866,673,2024-5yr
04921,1775,304,2024-5yr
04922,953,212,2024-5yr
04923,532,99,2024-5yr
04924,2063,388,2024-5yr
04925,101,59,2024-5yr
04926,0,0,2024-5yr
04927,3385,724,2024-5yr
04928,2192,417,2024-5yr
04929,650,120,2024-5yr
04930,4258,831,2024-5yr
04932,1207,234,2024-5yr
04936,232,128,2024-5yr
04937,6358,1122,2024-5yr
04938,10542,2122,2024-5yr
04939,823,191,2024-5yr
04940,0,0,2024-5yr
04941,1577,346,2024-5yr
